Name,Description,Author,Comment,Witch Spell,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Script: On Dodge,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: On any equipment use,Script: Before execute,Script: On Snap,Script: On Fury,Script: On any countdown reduce
Who's Afraid of Scale?,Do [sword]6 damage. Reduce|max. countdown by 1 on use,Black Widow,Coloured yellow because it's a sidegrade of Crossbow; the way Battle Axe is a sidegrade of Sword. (If I had to assign the actual Art of Noise song Who's Afraid of Scale a color; it would probably be some shade of orange.) damage changed from 8 to 6 by bert,,2,attack(8); sfxdamage(target|8); e.maxcountdown--;,,COUNTDOWN,18,YELLOW,,,,,,,,,,,,,,,,,,,
Ninemare,Roll 9 dice,Black Widow,made normal|normal|normal|normal by gost; previously normal|normal (still must equal 9),,2,,,NORMAL|NORMAL|NORMAL|NORMAL,9,,,,,,,,,,,,,,,,,,,,
Quarter Staff,Do [sword]6 damage|Gain [gold]25 gold|Destroy this card,Test,,,2,attack(6); sfxdamage(target|6); sfx(~pickupgold~); e.name = ~pleasedeleteme~; removeequipment(~pleasedeleteme~); if(self.layout == ~DECK~) { var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) { deleteindex = i; break; } Deck.getcards(~all~)[deleteindex].delete(); },,COUNTDOWN,60,GRAY,change_power,change_power,,jesterdelete,,,,cannotreuse,,,,,,,,,,e.preventdefault = true; e.maintainfury = true,
Quarter Staff_downgraded,Do [sword]3 damage|Gain [gold]25 gold|Destroy this card,Test,,,2,attack(6); sfxdamage(target|6); sfx(~pickupgold~); e.name = ~pleasedeleteme~; removeequipment(~pleasedeleteme~); if(self.layout == ~DECK~) { var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) { deleteindex = i; break; } Deck.getcards(~all~)[deleteindex].delete(); },,COUNTDOWN,60,GRAY,,,,jesterdelete,,,,cannotreuse,,,,,,,,,,e.preventdefault = true; e.maintainfury = true,
Quarter Staff_upgraded,Do [sword]6 damage|Gain [gold]25 gold|Destroy this card,Test,,,2,attack(6); sfxdamage(target|6); sfx(~pickupgold~); e.name = ~pleasedeleteme~; removeequipment(~pleasedeleteme~); if(self.layout == ~DECK~) { var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) { deleteindex = i; break; } Deck.getcards(~all~)[deleteindex].delete(); },,COUNTDOWN,50,GRAY,,,,jesterdelete,,,,cannotreuse,,,,,,,,,,e.preventdefault = true; e.maintainfury = true,
Quarter Staff_weakened,Do [sword]3 damage|Gain [gold]25 gold|Destroy this card,Test,,,2,attack(6); sfxdamage(target|6); sfx(~pickupgold~); e.name = ~pleasedeleteme~; removeequipment(~pleasedeleteme~); if(self.layout == ~DECK~) { var deleteindex = -1; for(i in 0...Deck.getcards(~all~).length) if(Deck.getcards(~all~)[i].equipment == e) { deleteindex = i; break; } Deck.getcards(~all~)[deleteindex].delete(); },,COUNTDOWN,50,GRAY,,,,jesterdelete,,,,cannotreuse,,,,,,,,,,e.preventdefault = true; e.maintainfury = true,
Lump,Roll a 1|Return the dice,Test,,,1,givedice([d|1]);,,EVEN,,GREEN,change_power,change_power,,,,,,,,,,,,,,,,,
Lump_upgraded,Roll a 2|Return the dice,Test,,,1,givedice([d|2]);,,EVEN,,GREEN,,,,,,,,,,,,,,,,,,,
Lump_downgraded,Roll a 1,Test,,,1,givedice(1);,,EVEN,,GREEN,,,,,,,,,,,,,,,,,,,
Quasipick,Roll two low dice (1-3),Test,,,1,givedice([rand([1|2|3])|rand([1|2|3])]);,,MIN4,,GREEN,increaserange,decreaserange,,,,,,,,,,,,,,,,,
Juggling Knives,Do [sword]<d6> damage. On|last use[;] roll 2 dice,Test,,,2,attack(d); sfxdamage(target|d); if(e.usesleft == 0) { givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); },,MAX3,,RED,,,,,,,,,,,,,,,,,,,
Juggling Knives_upgraded,Do [sword]<d6> damage. On|last use[;] roll 3 dice,Test,,,2,attack(d); sfxdamage(target|d); if(e.usesleft == 0) { givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]); },,MAX3,,RED,,,,,,,,,,,,,,,,,,,
Juggling Knives_downgraded,Do [sword]<d6> damage. On|last use[;] roll 1 dice,Test,,,2,attack(d); sfxdamage(target|d); if(e.usesleft == 0) { givedice(); },,MAX3,,RED,,,,,,,,,,,,,,,,,,,
Joust,Deal [sword]<d6> damage[;]|gain [reduce]3 reduce,Black Widow,,,2,attack(d); sfxdamage(target|d); inflictself(REDUCE|3);,,NORMAL,,ORANGE,,,,_shield,,,,finale,,,,,,,,,,,
Enamoured Self Applause,Recover [heal]<d6> health[;]|gain [confuse]<d6> limit charge|[gray](once per battle),Black Widow,,,2,attackself(-d); sfx(~_heal~); if(self.limitvalue != null && self.limitmax != null) { sfx(~_cure~|~~|0.1); self.limitvalue += d; if(self.limitvalue > self.limitmax) { self.limitvalue = self.limitmax; } },,MAX3|MAX3,,ORANGE,,,,,,,,finale,,,,,,,,,,,
Vaporous Broadsword,[]+[sword]2 to all attacks|until dismissed.,Black Widow,,,2,,,COUNTDOWN|FREE2,6,RED,,,,,,,,,,,,,,,,,,,
Geradedice,[]+1 to dice value|On even[;] +2 instead,Black Widow,,,1,,,NORMAL,,GREEN,,,,,,,,,,,,,,,,,,,
tempname13,Roll a dice higher than or|equal to the flipped dice,Black Widow,,,1,,,NORMAL,,GREEN,,,,,,,,,,,,,,,,,,,
tempname14,[]+1 to dice value|[]+1 to limit charge,Black Widow,,,1,,,ODD,,YELLOW,,,,,,,,,,,,,,,,,,,
tempname15,[]-1 to dice value|Drain [heart]1 health,Black Widow,jackeea has this ad verbum lol sorry. -gost,,1,,,EVEN,,RED,,,,,,,,,,,,,,,,,,,
Uppercut,Do [sword]2 damage[;]|+2 to dice value,Black Widow,Not intended for Jester.,,2,,,NORMAL,,RED,,,,,,,,,,,,,,,,,,,
Low Jab,Do [sword]4 damage[;]|-4 to dice value,Test,,,2,,,MIN5,,RED,,,,,,,,,,,,,,,,,,,
tempname16,Increase hand size to 4.|Roll a new dice.,Black Widow,,,2,,,NORMAL|NORMAL,,,,,,,,,,jesteronly,,,,,,,,,,,
tempname17,While next to another|tempname17[;] add 1 damage|to all attacks this turn.,Black WIdow,,,2,,,,,,,,,,,,,,,,,,,,,,,,
tempname18,Inflict [silence]Silence,Black Widow,,,2,,,EVEN,,ORANGE,,,,,,,,finale,,,,,,,,,,,
tempname20,Next turn[;] snap all of|the cards you start with,Test,Description rewritten by everyone's favorite arachnid. Previously 'Next turn[;] use the first|cards you draw for free.' also countdown decided by gost,,2,,,COUNTDOWN,12,ORANGE,,,,,,,,finale,,,,,,,,,,,
tempname21,Get two 6s next turn,Black Widow,,,2,,,DOUBLES|DOUBLES,,ORANGE,,,,,,,,finale,,,,,,,,,,,
Super Spear,Do [sword]<d6>[;] stash both dice|[gray](once per battle) ,Black Widow,,,1,,,REQUIRE6|REQUIRE6,,ORANGE,,,,,,,,finale,,,,,,,,,,,
Lucky Sword,Do a random amount of|damage between the dice[;]|and return both dice,Witness,Description rewritten by everyone's yet favorite arachnid. Previously 'Do damage between the|larger and smaller dice|Return both dice'.,,2,,,NORMAL|NORMAL,,RED,,,,,,,,,,,,,,,,,,,
Gloves,Rest of turn: 50% chance to|get [recycle]Re-Equip before item use,Black Widow,,,1,,,COUNTDOWN,10,GREEN,,,,,,,,,,,,,,,,,,,
tempname22,Get two blessings at|the start of next turn,Black Widow,,,2,,,,,ORANGE,,,,,,,,finale,,,,,,,,,,,
Boop Boop,Do [sword]2 damage. On 1[;]|drain [heart]1 health instead,Test,,,1,,,NORMAL,,PURPLE,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Bop Boop,Do [sword]6 damage,Test,,,2,,,MIN3|NORMAL,,ORANGE,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Bop Boop_upgraded,Do [sword]7 damage[;]|return the 2nd dice,Test,,,2,,,MIN3|NORMAL,,ORANGE,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Volt Tackle,Do [shock]<d6> dmg. On dice not|rolled on turn start[;] inflict [shock]1 paralysis,Witness,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Thousand Arrows,Do [weaken]<d6> dmg. On dice not|rolled on turn start[;] inflict [weaken]1 restraint,Witness,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Sawtooth,Returns a 6 and a 1,Witness,beta version of saw wave,,1,givedice(7);,Stardust,DOUBLES|DOUBLES,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,
Sawtooth_upgraded,Returns two sixes,Witness,,,1,givedice(12);,Stardust,DOUBLES|DOUBLES,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,
Sawtooth_downgraded,Returns two ones,Witness,,,1,givedice([1|1]);,Stardust,DOUBLES|DOUBLES,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,
Hall of Hammers,[]+1 shock this fight,Titku,,,1,//inflict lingering shock or something,,REQUIRE6,,YELLOW,,,,,,,,,,,,,,,,,,,
tempname23,Get three new dice,Abagail,give this to jester,,2,givedice([rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])|rand([1|2|3|4|5|6])]);,,MIN4|MIN4,,GREEN,,,,,,YES,,,,,,,,,,,,,
Hall of Daggers,[]+[sword]<d6> damage this fight,Abagail,stupid,,2,//should: 1. cast forward; 2. do d6 damage; 3. give you a 'lingering damage' status regardless of whether dodged or not that makes it so you automatically do that amount of damage to the enemy at the start of each turn,,MAX3,,RED,,,,,,,,,,,,,,,,,,,
Backbeat,Do [sword]1 per [sword]2 damage|dealt last turn ([sword]<var:halfdmglastturn>),Titku,Art of Noise my beloved.,,1,,,COMBINATION,,GREEN,change_power,change_power,,,,,,excludefromrandomlists|combination:11,,,,,,,,,,,
Beatback,Do [sword]1 per [sword]1 damage|dealt last turn ([sword]<var:dmglastturn>),Titku,,,2,,,COMBINATION,,GREEN,change_power,change_power,,,,,,excludefromrandomlists|combination:11,,,,,,,,,,,
Backbeat_upgraded,Do [sword]1 per [sword]2 damage|dealt last turn ([sword]<var:halfdmglastturn>),Titku,,,1,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:77,,,,,,,,,,,
Beatback_upgraded,Do [sword]1 per [sword]1 damage|dealt last turn ([sword]<var:dmglastturn>),Titku,,,2,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:77,,,,,,,,,,,
Backbeat_downgraded,Do [sword]1 per [sword]3 damage|dealt last turn ([sword]<var:thirddmglastturn>),Titku,,,1,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:11,,,,,,,,,,,
Beatback_downgraded,Do [sword]1 per [sword]2 damage|dealt last turn ([sword]<var:halfdmglastturn>),Titku,,,2,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:11,,,,,,,,,,,
Backbeat_weakened,Do [sword]1 per [sword]3 damage|dealt last turn ([sword]<var:thirddmglastturn>),Titku,,,1,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:77,,,,,,,,,,,
Beatback_weakened,Do [sword]1 per [sword]2 damage|dealt last turn ([sword]<var:halfdmglastturn>),Titku,,,2,,,COMBINATION,,GREEN,,,,,,,,excludefromrandomlists|combination:77,,,,,,,,,,,
tempname24,If limit was not used this turn[;]|do damage equal to missing|limit break charge,Titku,,,1,,,DOUBLES|DOUBLES,,RED,,,,,,,,,,,,,,,,,,,
The Machine,Passive: Inflict 2 shock|Saps half your limit charge|at the end of each turn,Abagail,,,1,//wip,,,,GRAY,,,,,,,,,,,,,,,,,,,
tempname25,Do [sword]<d6> damage|+2 for each turn between|first dice and last dice,Titku,Assumes that for a COMBINATION slot; d (and <d6>) is set to the total of alll dice,,2,trace(e.dicehistory); trace(e.assigneddice);,,COMBINATION,,,,,,,,,,excludefromrandomlists|combination:77,,,,,,,,,,,
Triangle,Inflict [weaken]3 weaken|Return all dice,Titku,Making items for a super unfilled niche is fun because no idea has been done yet! Cliches don't even exist. I could make the most cliched item ever and no-one would know until way later.,,1,,,COMBINATION,,ORANGE,change_power,change_power,,,,,,combination:333,,,,,,,,,,,
Triangle_upgraded,Inflict [weaken]3 weaken|Return all dice,Titku,,,1,,,COMBINATION,,ORANGE,,,,,,,,combination:777,,,,,,,,,,,
Triangle_downgraded,Deal [weaken]3 damage|Return all dice,Titku,,,1,,,COMBINATION,,ORANGE,,,,,,,,combination:333,,,,,,,,,,,
Triangle_weakened,Deal [weaken]3 damage|Return all dice,Titku,,,1,,,COMBINATION,,ORANGE,,,,,,,,combination:777,,,,,,,,,,,
Combo Breaker,Reset all combination|items filled this turn|Do [sword]2 per dice reset,Titku,No clue if this is even possible!,,1,,,MIN5,,,,,,,,,,,,,,,,,,,,,
Jester's Glove,Take [sword]<d6> damage|Snap an item next turn,gost,On the fence about whether to make this return the dice. This is essentially weird stash-dice-manip with a damage penalty. Maybe that's fine on its own; but is it really powerful enough to justify the chance to take 6 damage and delay its effect by 1 turn? -Widow,1,1,attackself(d); sfxdamage(self|d); jinx(~Jester's Glove~|~[glove]snap an equipment~|~[glove]Snap an equipment~|~inflict(\~ncr_snap\~); sfx(\~jester_snap\~);~|self|self|1|d); sfx(~_thinghappens~|~~|0.15);,,NORMAL,,ORANGE,change_power,change_power,,,,YES,,,,,,,,,,,,,
Jester's Glove_upgraded,Take [sword]<d6> damage|Snap an item next turn|On 6[;] take no damage,gost,Description rewritten by everyone's favorite arachnid. Previously 'Take [sword]<d6>[;] snap next turn|On 6[;] take no damage'.,,1,if(d != 6) { attackself(d); sfxdamage(self|d); } jinx(~Jester's Glove~|~[glove]snap an equipment~|~[glove]Snap an equipment~|~inflict(\~snap\~); sfx(\~jester_snap\~);~|self|self|1|d); sfx(~_thinghappens~|~~|d != 6 ? 0.15 : 0);,,NORMAL,,ORANGE,,,,,,YES,,,,,,,,,,,,,
Jester's Glove_downgraded,Take [sword]<d6> damage|Snap an item next turn,gost,,,1,attackself(d); sfxdamage(self|d); jinx(~Jester's Glove~|~[glove]snap an equipment~|~[glove]Snap an equipment~|~inflict(\~snap\~); sfx(\~jester_snap\~);~|self|self|1|d); sfx(~_thinghappens~|~~|0.15);,,MIN3,,ORANGE,,,,,,YES,,,,,,,,,,,,,
Time Travel,Use a copy of the last|equipment you used,gost,this is an unfinished morefluff item that i was going to steal and make work for christmas special; then i realized reuseables exist and i got bored and stopped,,1,var l = null; for(eq in self.equipmenthistory){if(eq.name != ~Time Travel~){l = eq;};}; var s = new elements.Equipment(l.name); s.usesleft= 0; s.temporary_thisturnonly = true; self.equipment.push(s); trace(l.assigneddice); if(l.assigneddice.length > 0) { for(x in l.assigneddice){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.assigndice(nd);}; }; }; if(l.dicehistory.length > 0) { for(x in l.dicehistory){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.dicehistory.push(nd); nd.assigned = s;}; }; }; /*s.x = 3840/2 - s.width/2; s.y = 2160/2-s.height/2;*/ s.x = e.getvar(~oldx~) - ((s.width - e.width) / 2); s.y = e.getvar(~oldy~) - ((s.height - e.height) / 2); s.animate(~flashandshake~); s.doequipmentaction(self|target|s.castdirection|s.assigneddice|0|false); if(s.remainingcountdown > 0) s.remainingcountdown = 0; sfx(~_recycle~);,,NORMAL|NORMAL,,GREY,change_power,change_power,,,0,YES,NO,unfinished|excludefromrandomlists,,e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](None[;] [dice]N/A)~;,e.fulldescription = ~Use a copy of the last[newline]equipment you used~;,var l = null; if(self.equipmenthistory.length > 0) { for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; } },,,if(!onlimit && self.equipmenthistory.length > 0) { var l = null; for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; e.animate(~flash~); } },e.setvar(~oldx~|e.x); e.setvar(~oldy~|e.y);,,,
Time Travel_upgraded,Use a copy of the last|equipment you used,,,,1,var l = null; for(eq in self.equipmenthistory){if(eq.name != ~Time Travel~){l = eq;};}; var s = new elements.Equipment(l.name); s.usesleft= 0; s.temporary_thisturnonly = true; self.equipment.push(s); trace(l.assigneddice); if(l.assigneddice.length > 0) { for(x in l.assigneddice){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.assigndice(nd);}; }; }; if(l.dicehistory.length > 0) { for(x in l.dicehistory){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.dicehistory.push(nd); nd.assigned = s;}; }; }; /*s.x = 3840/2 - s.width/2; s.y = 2160/2-s.height/2;*/ s.x = e.getvar(~oldx~) - ((s.width - e.width) / 2); s.y = e.getvar(~oldy~) - ((s.height - e.height) / 2); s.animate(~flashandshake~); s.doequipmentaction(self|target|s.castdirection|s.assigneddice|0|false); if(s.remainingcountdown > 0) s.remainingcountdown = 0; sfx(~_recycle~);,,NORMAL,,GREY,,,,,0,YES,NO,unfinished|excludefromrandomlists,,e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](None[;] [dice]N/A)~;,e.fulldescription = ~Use a copy of the last[newline]equipment you used~;,var l = null; if(self.equipmenthistory.length > 0) { for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; } },,,if(!onlimit && self.equipmenthistory.length > 0) { var l = null; for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; e.animate(~flash~); } },e.setvar(~oldx~|e.x); e.setvar(~oldy~|e.y);,,,
Time Travel_downgraded,Use a copy of the last|equipment you used,,,,1,var l = null; for(eq in self.equipmenthistory){if(eq.name != ~Time Travel~){l = eq;};}; var s = new elements.Equipment(l.name); s.usesleft= 0; s.temporary_thisturnonly = true; self.equipment.push(s); trace(l.assigneddice); if(l.assigneddice.length > 0) { for(x in l.assigneddice){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.assigndice(nd);}; }; }; if(l.dicehistory.length > 0) { for(x in l.dicehistory){if(x!=null){var nd = new elements.Dice(); nd.basevalue = x.basevalue; self.dicepool.push(nd); s.dicehistory.push(nd); nd.assigned = s;}; }; }; /*s.x = 3840/2 - s.width/2; s.y = 2160/2-s.height/2;*/ s.x = e.getvar(~oldx~) - ((s.width - e.width) / 2); s.y = e.getvar(~oldy~) - ((s.height - e.height) / 2); s.animate(~flashandshake~); s.doequipmentaction(self|target|s.castdirection|s.assigneddice|0|false); if(s.remainingcountdown > 0) s.remainingcountdown = 0; sfx(~_recycle~);,,EVEN|EVEN,,GREY,,,,,0,YES,NO,unfinished|excludefromrandomlists,,e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](None[;] [dice]N/A)~;,e.fulldescription = ~Use a copy of the last[newline]equipment you used~;,var l = null; if(self.equipmenthistory.length > 0) { for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; } },,,if(!onlimit && self.equipmenthistory.length > 0) { var l = null; for(eq in self.equipmenthistory){if(eq != null && !eq.temporary_thisturnonly && eq.name != ~Time Travel~){l = eq;};}; if(l != null) { trace(~eqhistory: ~ + self.equipmenthistory); trace(~L: ~ + l); var s = ~[openbracket]~; var dicelist = []; if(l.assigneddice.length > 0) { for(d in l.assigneddice){if(d!=null){dicelist.push(d.basevalue);};};}; if(l.dicehistory.length > 0) { for(d in l.dicehistory){if(d!=null){dicelist.push(d.basevalue);};};}; s+=dicelist.join(~[;] ~); s+=~[closebracket]~; e.fulldescription = ~Use a copy of the last[newline]equipment you used[newline](~ + l.name + ~[;] [dice]~ + s + ~)~; e.animate(~flash~); } },e.setvar(~oldx~|e.x); e.setvar(~oldy~|e.y);,,,
Tall Cauldron,Reroll each dice used|here (<evar:diceused> dice used),Bert,Named by Black Widow. early concept by diane; see fuck.csv,,2,var dicelist = []; for(i in 0...e.dicehistory.length) { dicelist.push(rand([1|2|3|4|5|6])); } givedice(dicelist);,,COUNTDOWN,4,PURPLE,reducesize,change_power,,,,,,,,,,,,,,,,,e.setvar(~diceused~|e.dicehistory.length);
Tall Cauldron_downgraded,Receive all dice|used here,Black Widow,,,2,givedice(e.dicehistory);,,COUNTDOWN,4,PURPLE,,,,,,,,,,,,,,,,,,,
Tall Cauldron_weakened,Receive all dice|used here,Black Widow,,,1,givedice(e.dicehistory);,,COUNTDOWN,4,PURPLE,,,,,,,,,,,,,,,,,,,
Pedantic Dagger,Do [sword]<d6> dmg. If target HP|now ends in 0[;] +[star]5 limit|[gray](3 uses this turn),Reyder,,,1,,,MAX3,,YELLOW,change_power,change_power,,,3,,,,,,,,,,,,,,
Pedantic Dagger_upgraded,Do [sword]<d6> dmg. If target HP|now ends in 0[;] +[star]5 limit|[gray](Reuseable),Diane,,,1,,,MAX3,,YELLOW,,,,,-1,,,,,,,,,,,,,,
Pedantic Dagger_downgraded,Do [sword]<d6> dmg. If target HP|now ends in 0[;] +[star]5 limit|[gray](3 uses this turn),Reyder,,,1,,,MAX2,,YELLOW,,,,,3,,,,,,,,,,,,,,
Chameleon's Dish,Mimics another item,Reyder?,I forget who this is by. I think Reyder came up with it. -Widow,,1,//Todo: ...everything. Also; maybe this could be able to mimic size 2 items (with less than 4 slots); but resize them to size 1? -Widow,,,,GRAY,change_power,noeffect,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Chameleon's Dish_upgraded,Mimics another item|Always upgraded,Reyder?,,,1,,,,,GRAY,,,,,,,,unfinished|excludefromrandomlists,,,,,,,,,,,
Eternal Cauldron,Do [sword]1 damage[;] reroll dice|30% chance to fail|[gray](Reuseable),Diane,based on the eternal d6 item from the binding of isaac: repentance,1,1,if(!chance(30)) { givedice(); attack(1); sfxdamage(target|1); } else { self.textparticle(~No effect!~); },,NORMAL,,GRAY,change_power,change_power,,,-1,,,,if(!chance(30)) { givedice(); } else { self.textparticle(~No effect!~); },,,,,,,,,,
Eternal Cauldron_upgraded,Do [sword]1 damage[;] reroll dice|15% chance to fail|[gray](Reuseable),Diane,,,1,if(!chance(15)) { givedice(); attack(1); sfxdamage(target|1); } else { self.textparticle(~No effect!~); },,NORMAL,,GRAY,,,,,-1,,,,if(!chance(15)) { givedice(); } else { self.textparticle(~No effect!~); },,,,,,,,,,
Eternal Cauldron_downgraded,Reroll the dice|30% chance to fail|[gray](Reuseable),Diane,,,1,if(!chance(30)) { givedice(); } else { self.textparticle(~No effect!~); },,NORMAL,,GRAY,,,,,-1,YES,,,,,,,,,,,,,
Wide Cauldron,Do [sword]4 damage[;]|get 4 new dice,Diane,,1,1,attack(4); sfxdamage(target|4); var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)|rand(numlist)|rand(numlist)]);,,COMBINATION,,PURPLE,change_power,change_power,,,,,,combination:7777,var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)|rand(numlist)|rand(numlist)]);,,,,,,,,,,
Wide Cauldron_upgraded,Do [sword]4 damage[;]|get 4 new dice|,Diane,,,1,attack(4); sfxdamage(target|4); var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)|rand(numlist)|rand(numlist)]);,,COMBINATION,,PURPLE,,,,,2,,,combination:7777,var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)|rand(numlist)|rand(numlist)]);,,,,,,,,,,
Wide Cauldron_downgraded,Do [sword]2 damage[;]|get 2 new dice,Diane,,,1,attack(2); sfxdamage(target|2); var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)]);,,COMBINATION,,PURPLE,,,,,,,,combination:7777,var numlist = [1|2|3|4|5|6]; givedice([rand(numlist)|rand(numlist)]);,,,,,,,,,,
Sheer Won't,Heal [vanish]<d6> damage|Unflict [vanish]1 fade,Titku,pun on sheer will by titku. implemented by bert but i'm 90% sure titku herself came up with this one.,1,1,sfx(~_heal~); attackself(-d|VANISH); if(getstatusself(~fade~) > 0) { removestatusself(~fade~); sfx(~_cure~|~~|0.1); },Delude,MAX3,,PINK,increaserange,change_power,,_vanish,0,YES,NO,,,,,,,,,,,,
Sheer Won't_downgraded,Heal [vanish]<d6> damage|Unflict [vanish]1 fade,Titku,,,1,sfx(~_heal~); attackself(-d|VANISH); if(getstatusself(~fade~) > 0) { removestatusself(~fade~); sfx(~_cure~|~~|0.1); },Delude,MAX2,,PINK,,,,_vanish,0,YES,NO,,,,,,,,,,,,
